customer_id,customer_name,segment,city,created_date
C00001,Customer 00001,Corporate,Negombo,2025-01-26
C00002,Customer 00002,Small Business,Negombo,2025-01-11
C00003,Customer 00003,Consumer,Negombo,2023-04-13
C00004,Customer 00004,Corporate,Galle,2023-08-21
C00005,Customer 00005,Consumer,Galle,2023-11-06
C00006,Customer 00006,Consumer,Colombo,2023-10-08
C00007,Customer 00007,Corporate,Galle,2024-07-20
C00008,Customer 00008,Corporate,Kandy,2024-10-15
C00009,Customer 00009,Consumer,Negombo,2025-06-12
C00010,Customer 00010,Corporate,Batticaloa,2024-04-25
C00011,Customer 00011,Consumer,Colombo,2023-12-15
C00012,Customer 00012,Corporate,Kandy,2023-09-16
C00013,Customer 00013,Consumer,Anuradhapura,2025-04-21
C00014,Customer 00014,Consumer,Colombo,2024-05-18
C00015,Customer 00015,Consumer,Negombo,2023-06-05
C00016,Customer 00016,Consumer,Kandy,2023-03-29
C00017,Customer 00017,Corporate,Jaffna,2024-07-25
C00018,Customer 00018,Small Business,Anuradhapura,2025-03-05
C00019,Customer 00019,Corporate,Negombo,2024-04-06
C00020,Customer 00020,Small Business,Anuradhapura,2025-05-30
C00021,Customer 00021,Small Business,Colombo,2023-11-09
C00022,Customer 00022,Small Business,Kandy,2024-09-16
C00023,Customer 00023,Consumer,Jaffna,2025-08-28
C00024,Customer 00024,Small Business,Kandy,2023-09-28
C00025,Customer 00025,Consumer,Galle,2023-06-10
C00026,Customer 00026,Consumer,Galle,2024-07-19
C00027,Customer 00027,Corporate,Batticaloa,2023-01-03
C00028,Customer 00028,Small Business,Batticaloa,2024-12-06
C00029,Customer 00029,Consumer,Jaffna,2023-10-26
C00030,Customer 00030,Small Business,Negombo,2023-10-23
C00031,Customer 00031,Corporate,Kandy,2024-12-20
C00032,Customer 00032,Consumer,Negombo,2024-12-04
C00033,Customer 00033,Small Business,Jaffna,2025-03-17
C00034,Customer 00034,Consumer,Jaffna,2024-03-11
C00035,Customer 00035,Consumer,Negombo,2024-10-25
C00036,Customer 00036,Consumer,Kandy,2025-04-26
C00037,Customer 00037,Consumer,Negombo,2023-03-03
C00038,Customer 00038,Small Business,Negombo,2024-09-01
C00039,Customer 00039,Consumer,Batticaloa,2024-03-25
C00040,Customer 00040,Corporate,Anuradhapura,2024-12-06
C00041,Customer 00041,Corporate,Batticaloa,2025-08-23
C00042,Customer 00042,Consumer,Colombo,2024-03-24
C00043,Customer 00043,Corporate,Kurunegala,2025-06-29
C00044,Customer 00044,Corporate,Colombo,2024-09-10
C00045,Customer 00045,Consumer,Colombo,2023-04-04
C00046,Customer 00046,Small Business,Negombo,2025-02-22
C00047,Customer 00047,Consumer,Galle,2024-08-13
C00048,Customer 00048,Small Business,Batticaloa,2024-04-26
C00049,Customer 00049,Corporate,Galle,2025-07-27
C00050,Customer 00050,Corporate,Batticaloa,2024-08-22
C00051,Customer 00051,Consumer,Batticaloa,2025-09-19
C00052,Customer 00052,Corporate,Kurunegala,2023-12-23
C00053,Customer 00053,Small Business,Kandy,2023-11-25
C00054,Customer 00054,Consumer,Kurunegala,2025-05-28
C00055,Customer 00055,Small Business,Batticaloa,2024-02-26
C00056,Customer 00056,Small Business,Anuradhapura,2023-10-23
C00057,Customer 00057,Small Business,Colombo,2025-04-13
C00058,Customer 00058,Consumer,Kurunegala,2024-04-10
C00059,Customer 00059,Corporate,Kandy,2023-09-16
C00060,Customer 00060,Corporate,Colombo,2025-09-20
C00061,Customer 00061,Small Business,Batticaloa,2024-11-04
C00062,Customer 00062,Consumer,Jaffna,2024-02-28
C00063,Customer 00063,Corporate,Batticaloa,2024-06-14
C00064,Customer 00064,Corporate,Colombo,2024-10-02
