order_id,order_ts,customer_id,product_id,store_id,quantity,unit_price,updated_ts
O0000001,2026-06-14 21:28:21,C04413,P0164,ST006,4,114.44,2026-06-14 21:28:21
O0000002,2026-07-01 11:19:32,C02622,P0079,ST017,8,68.83,2026-07-01 11:19:32
O0000003,2026-07-10 17:13:36,C01267,P0173,ST011,3,200.14,2026-07-10 17:13:36
O0000004,2026-07-22 20:10:54,C04999,P0041,ST006,6,482.29,2026-07-22 20:10:54
O0000005,2026-08-01 18:38:50,C02207,P0107,ST008,5,113.79,2026-08-01 18:38:50
O0000006,2026-07-10 13:09:19,C02900,P0086,ST011,8,138.36,2026-07-10 13:09:19
O0000007,2026-08-13 14:48:26,C03311,P0002,ST002,7,380.13,2026-08-13 14:48:26
O0000008,2026-06-19 15:49:17,C01657,P0005,ST007,5,424.2,2026-06-19 15:49:17
O0000009,2026-07-19 08:20:27,C02669,P0098,ST018,4,334.47,2026-07-19 08:20:27
O0000010,2026-08-20 16:28:54,C00876,P0071,ST003,4,203.68,2026-08-20 16:28:54
O0000011,2026-08-02 19:37:30,C03196,P0012,ST016,4,83.84,2026-08-02 19:37:30
O0000012,2026-08-18 17:24:03,C00460,P0026,ST011,5,194.23,2026-08-18 17:24:03
O0000013,2026-07-28 12:07:30,C00607,P0035,ST011,7,464.76,2026-07-28 12:07:30
O0000014,2026-06-21 17:19:36,C04603,P0052,ST003,8,179.09,2026-06-21 17:19:36
O0000015,2026-08-14 16:48:42,C04561,P0067,ST017,5,290.85,2026-08-14 16:48:42
O0000016,2026-06-19 20:49:04,C02572,P0180,ST012,8,218.46,2026-06-19 20:49:04
O0000017,2026-06-29 10:20:29,C03775,P0059,ST012,6,28.14,2026-06-29 10:20:29
O0000018,2026-08-31 12:16:38,C00190,P0192,ST005,2,278.92,2026-08-31 12:16:38
O0000019,2026-07-26 14:51:31,C04329,,ST002,6,351.8,2026-07-26 14:51:31
O0000020,2026-07-27 08:32:55,C04414,P0084,ST016,5,469.65,2026-07-27 08:32:55
O0000021,2026-08-22 09:47:04,C00755,P0145,ST018,2,71.77,2026-08-22 09:47:04
O0000022,2026-08-06 21:54:05,C03838,P0147,ST020,4,167.45,2026-08-06 21:54:05
O0000023,2026-08-28 14:52:17,C03697,P0120,ST005,6,278.54,2026-08-28 14:52:17
O0000024,2026-08-23 17:21:29,C03543,P0136,ST001,7,27.96,2026-08-23 17:21:29
O0000025,2026-06-02 17:53:24,C00070,P0005,ST008,6,424.2,2026-06-02 17:53:24
O0000026,2026-07-05 21:14:37,C02676,P0173,ST018,8,200.14,2026-07-05 21:14:37
O0000027,2026-06-27 20:52:36,C04726,P0091,ST005,4,319.65,2026-06-27 20:52:36
O0000028,2026-06-28 12:11:06,C04370,P0007,ST020,1,42.16,2026-06-28 12:11:06
O0000029,2026-08-10 13:04:20,C01886,P0081,ST007,4,220.78,2026-08-10 13:04:20
O0000030,2026-07-26 12:14:59,C02911,P0056,ST001,3,72.67,2026-07-26 12:14:59
O0000031,2026-07-28 09:53:24,C03637,P0007,ST007,7,42.16,2026-07-28 09:53:24
O0000032,2026-07-28 14:12:13,C03118,P0198,ST019,2,127.95,2026-07-28 14:12:13
O0000033,2026-06-24 16:58:37,C04232,P0186,ST004,3,286.22,2026-06-24 16:58:37
O0000034,2026-06-17 15:47:38,C02596,P0092,ST014,4,277.19,2026-06-17 15:47:38
O0000035,2026-06-13 20:32:23,C02092,P0123,ST017,2,145.6,2026-06-13 20:32:23
O0000036,2026-06-04 08:24:51,C03280,P0108,ST004,6,166.15,2026-06-04 08:24:51
O0000037,2026-07-11 21:04:27,C02464,P0167,ST008,2,65.73,2026-07-11 21:04:27
O0000038,2026-07-21 15:01:17,C02649,P0187,ST002,3,17.26,2026-07-21 15:01:17
O0000039,2026-06-24 17:00:08,C01276,P0133,ST005,8,124.26,2026-06-24 17:00:08
O0000040,2026-06-09 17:51:13,C02401,P0190,ST012,7,279.23,2026-06-09 17:51:13
O0000041,2026-07-25 10:11:59,C01241,P0133,ST006,6,124.26,2026-07-25 10:11:59
O0000042,2026-06-16 20:10:01,C01672,P0128,ST010,7,337.38,2026-06-16 20:10:01
O0000043,2026-07-05 17:20:01,C02717,P0007,ST001,8,42.16,2026-07-05 17:20:01
O0000043,2026-07-05 17:20:01,C02717,P0007,ST001,8,42.16,2026-07-05 17:20:01
O0000044,2026-06-20 14:02:34,C04903,P0097,ST017,3,449.77,2026-06-20 14:02:34
O0000045,2026-06-03 13:57:14,C03440,P0024,ST003,2,430.97,2026-06-03 13:57:14
O0000046,2026-07-31 14:54:57,C03608,P0138,ST005,1,475.17,2026-07-31 14:54:57
O0000047,2026-08-01 12:08:20,C04424,P0169,ST012,2,86.39,2026-08-01 12:08:20
O0000048,2026-08-14 11:08:14,C01064,P0132,ST005,4,360.02,2026-08-14 11:08:14
O0000049,2026-06-14 19:25:18,C00863,P0158,ST008,4,322.45,2026-06-14 19:25:18
O0000050,2026-08-25 12:21:45,C04840,P0119,ST017,5,334.45,2026-08-25 12:21:45
O0000051,2026-06-18 13:27:23,C01190,P0170,ST019,1,389.56,2026-06-18 13:27:23
O0000052,2026-07-21 18:03:50,C01493,P0051,ST001,3,97.63,2026-07-21 18:03:50
O0000053,2026-07-02 10:25:20,C04687,P0003,ST016,8,172.1,2026-07-02 10:25:20
O0000054,2026-06-26 18:55:52,C03324,P0148,ST015,4,105.8,2026-06-26 18:55:52
O0000055,2026-07-05 16:28:07,C02289,P0191,ST017,6,45.55,2026-07-05 16:28:07
O0000056,2026-06-25 12:21:51,C04497,P0125,ST015,2,257.05,2026-06-25 12:21:51
O0000057,2026-07-15 20:33:16,C02994,P0017,ST014,1,116.84,2026-07-15 20:33:16
O0000058,2026-06-18 09:14:29,C00986,P0029,ST018,5,384.99,2026-06-18 09:14:29
O0000059,2026-07-16 12:28:27,C00680,P0142,ST017,3,383.61,2026-07-16 12:28:27
O0000060,2026-08-06 11:09:53,C01818,P0175,ST001,4,53.64,2026-08-06 11:09:53
O0000061,2026-07-17 16:38:49,C04612,P0039,ST017,1,66.81,2026-07-17 16:38:49
O0000062,2026-07-18 16:14:44,C01367,P0136,ST012,3,27.96,2026-07-18 16:14:44
O0000063,2026-06-23 18:40:54,C01854,P0159,ST005,7,93.32,2026-06-23 18:40:54
O0000064,2026-07-07 08:25:18,C04275,P0100,ST014,8,432.71,2026-07-07 08:25:18
O0000065,2026-06-19 19:19:00,C02059,P0020,ST018,5,74.01,2026-06-19 19:19:00
O0000066,2026-08-19 17:04:03,C03362,P0194,ST005,3,49.25,2026-08-19 17:04:03
O0000067,2026-06-22 20:51:15,C01307,P0101,ST014,7,441.06,2026-06-22 20:51:15
O0000068,2026-07-03 21:22:04,C02263,P0058,ST005,7,404.59,2026-07-03 21:22:04
O0000069,2026-13-45 99:99:99,C01167,P0114,ST009,6,194.44,2026-08-15 18:09:13
O0000070,2026-06-17 16:19:33,C04903,P0027,ST016,4,265.97,2026-06-17 16:19:33
O0000071,2026-07-10 21:07:34,C04998,P0191,ST015,3,45.55,2026-07-10 21:07:34
O0000072,2026-07-15 12:02:24,C00925,P0066,ST015,7,79.93,2026-07-15 12:02:24
O0000073,2026-08-31 19:55:50,C02385,P0125,ST008,2,257.05,2026-08-31 19:55:50
O0000074,2026-08-18 17:55:23,C04052,P0062,ST014,7,432.73,2026-08-18 17:55:23
O0000075,2026-06-15 21:49:17,C02260,P0186,ST009,6,286.22,2026-06-15 21:49:17
O0000076,2026-07-04 13:05:00,C03978,P0026,ST008,8,194.23,2026-07-04 13:05:00
O0000077,2026-07-27 18:17:06,C03997,P0200,ST018,7,98.2,2026-07-27 18:17:06
O0000078,2026-08-26 14:02:38,C04837,P0028,ST004,2,341.1,2026-08-26 14:02:38
