order_id,order_ts,customer_id,product_id,store_id,quantity,unit_price,updated_ts
O0100301,2026-09-02 18:24:08,C04501,,ST016,7,322.45,2026-09-02 18:24:08
O0100302,2026-09-02 20:01:27,C03303,P0142,ST006,7,383.61,2026-09-02 20:01:27
O0100303,2026-09-02 15:08:22,C02141,P0130,ST019,3,306.8,2026-09-02 15:08:22
O0100304,2026-09-02 10:30:55,C02673,P0139,ST020,2,415.79,2026-09-02 10:30:55
O0100305,2026-09-02 19:58:12,C00534,P0158,ST002,6,322.45,2026-09-02 19:58:12
O0100306,2026-09-02 20:47:45,C03646,P0168,ST007,6,234.12,2026-09-02 20:47:45
O0100307,2026-09-02 13:25:33,C04901,P0185,ST001,4,141.63,2026-09-02 13:25:33
O0100308,2026-09-02 09:47:06,C00520,P0148,ST017,3,105.8,2026-09-02 09:47:06
O0100309,2026-09-02 16:50:48,C03035,P0090,ST009,4,24.91,2026-09-02 16:50:48
O0100310,2026-09-02 11:30:37,C04894,P0171,ST007,7,56.73,2026-09-02 11:30:37
O0100311,2026-09-02 12:21:23,C01288,P0188,ST001,4,245.31,2026-09-02 12:21:23
O0100312,2026-09-02 17:21:22,C03414,P0148,ST003,1,105.8,2026-09-02 17:21:22
O0100313,2026-09-02 17:19:05,C03978,P0104,ST007,6,193.12,2026-09-02 17:19:05
O0100314,2026-09-02 20:32:30,C01284,P0066,ST010,2,79.93,2026-09-02 20:32:30
O0100315,2026-09-02 17:43:24,C04359,P0096,ST005,2,449.79,2026-09-02 17:43:24
O0100316,2026-09-02 20:30:23,C04442,P0046,ST017,7,6.57,2026-09-02 20:30:23
O0100317,2026-09-02 10:50:53,C01089,P0138,ST016,4,475.17,2026-09-02 10:50:53
O0100318,2026-09-02 14:20:31,C04808,P0131,ST012,7,208.98,2026-09-02 14:20:31
O0100319,2026-09-02 20:31:32,C02847,P0151,ST018,3,377.48,2026-09-02 20:31:32
O0100320,2026-09-02 14:22:14,C03473,P0042,ST016,4,357.34,2026-09-02 14:22:14
O0100321,2026-09-02 12:40:21,C04399,P0116,ST013,8,184.02,2026-09-02 12:40:21
O0100322,2026-09-02 20:55:47,C04734,P0025,ST003,8,396.66,2026-09-02 20:55:47
O0100323,2026-09-02 08:46:31,C01426,P0136,ST004,3,27.96,2026-09-02 08:46:31
O0100324,2026-09-02 09:16:18,C00071,P0146,ST016,5,354.09,2026-09-02 09:16:18
O0100325,2026-09-02 21:09:02,C02793,P0047,ST018,7,116.78,2026-09-02 21:09:02
O0100326,2026-09-02 19:21:21,C03907,P0134,ST017,5,446.65,2026-09-02 19:21:21
