product_id,product_name,category,unit_price,active_flag
P0001,Product 0001,Beauty,112.56,TRUE
P0002,Product 0002,Electronics,380.13,TRUE
P0003,Product 0003,Beauty,172.1,TRUE
P0004,Product 0004,Toys,53.8,TRUE
P0005,Product 0005,Toys,424.2,TRUE
P0006,Product 0006,Electronics,365.68,TRUE
P0007,Product 0007,Beauty,42.16,TRUE
P0008,Product 0008,Toys,289.94,TRUE
P0009,Product 0009,Electronics,331.65,TRUE
P0010,Product 0010,Grocery,428.09,TRUE
P0011,Product 0011,Beauty,141.15,TRUE
P0012,Product 0012,Toys,83.84,TRUE
P0013,Product 0013,Sports,351.8,TRUE
P0014,Product 0014,Grocery,305.74,TRUE
P0015,Product 0015,Home,84.21,TRUE
P0016,Product 0016,Home,343.25,TRUE
P0017,Product 0017,Electronics,116.84,TRUE
P0018,Product 0018,Toys,202.38,FALSE
P0019,Product 0019,Toys,108.68,TRUE
P0020,Product 0020,Books,74.01,TRUE
P0021,Product 0021,Sports,374.27,TRUE
P0022,Product 0022,Beauty,182.91,TRUE
P0023,Product 0023,Apparel,256.23,TRUE
P0024,Product 0024,Electronics,430.97,TRUE
P0025,Product 0025,Apparel,396.66,TRUE
P0026,Product 0026,Grocery,194.23,TRUE
P0027,Product 0027,Books,265.97,TRUE
P0028,Product 0028,Electronics,341.1,TRUE
P0029,Product 0029,Sports,384.99,TRUE
P0030,Product 0030,Sports,219.08,TRUE
P0031,Product 0031,Sports,486.03,TRUE
P0032,Product 0032,Grocery,435.65,TRUE
P0033,Product 0033,Home,78.96,TRUE
P0034,Product 0034,Electronics,300.68,TRUE
P0035,Product 0035,Grocery,464.76,TRUE
P0036,Product 0036,Sports,122.01,TRUE
P0037,Product 0037,Grocery,45.57,TRUE
P0038,Product 0038,Grocery,489.06,TRUE
P0039,Product 0039,Apparel,66.81,TRUE
P0040,Product 0040,Apparel,134.73,TRUE
P0041,Product 0041,Beauty,482.29,TRUE
P0042,Product 0042,Home,357.34,TRUE
P0043,Product 0043,Toys,220.74,TRUE
P0044,Product 0044,Grocery,126.21,TRUE
P0045,Product 0045,Electronics,295.39,TRUE
P0046,Product 0046,Home,6.57,TRUE
P0047,Product 0047,Electronics,116.78,TRUE
P0048,Product 0048,Toys,38.22,TRUE
P0049,Product 0049,Books,109.48,TRUE
P0050,Product 0050,Books,123.77,TRUE
P0051,Product 0051,Beauty,97.63,TRUE
P0052,Product 0052,Beauty,179.09,TRUE
P0053,Product 0053,Electronics,337.66,TRUE
P0054,Product 0054,Grocery,33.12,TRUE
P0055,Product 0055,Grocery,126.58,TRUE
P0056,Product 0056,Books,72.67,TRUE
P0057,Product 0057,Books,127.15,TRUE
P0058,Product 0058,Books,404.59,TRUE
P0059,Product 0059,Grocery,28.14,TRUE
P0060,Product 0060,Electronics,484.59,TRUE
P0061,Product 0061,Home,85.66,TRUE
P0062,Product 0062,Home,432.73,TRUE
P0063,Product 0063,Apparel,191.35,TRUE
P0064,Product 0064,Sports,463.48,TRUE
P0065,Product 0065,Sports,213.23,TRUE
P0066,Product 0066,Books,79.93,TRUE
P0067,Product 0067,Electronics,290.85,TRUE
P0068,Product 0068,Toys,31.41,TRUE
P0069,Product 0069,Apparel,31.27,TRUE
P0070,Product 0070,Apparel,37.06,TRUE
P0071,Product 0071,Home,203.68,TRUE
P0072,Product 0072,Home,290.72,TRUE
P0073,Product 0073,Grocery,211.35,FALSE
P0074,Product 0074,Toys,467.55,TRUE
P0075,Product 0075,Toys,121.63,TRUE
P0076,Product 0076,Sports,230.24,TRUE
P0077,Product 0077,Grocery,7.63,TRUE
P0078,Product 0078,Grocery,39.41,TRUE
